,Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
2325,1,77.0,64.0,60.0,77.0,67.0,72.0,73.0,75.0,78.0,72.0,66.0,68.0,68.0,77.0,62.0,79.0,69.0,75.0,70.0,78.0,75.0,50.0,67.0,76.0,79.0,69.0,64.0,71.0,60.0,11.0,16.0,8.0,16.0,14.0
5065,1,59.0,50.0,56.0,68.0,50.0,75.0,64.0,67.0,67.0,73.0,71.0,59.0,81.0,74.0,78.0,53.0,81.0,65.0,57.0,56.0,58.0,51.0,63.0,74.0,63.0,70.0,32.0,54.0,55.0,11.0,9.0,11.0,8.0,13.0
10548,0,61.0,69.0,74.0,65.0,68.0,65.0,61.0,69.0,51.0,70.0,26.0,31.0,37.0,60.0,31.0,72.0,55.0,52.0,82.0,61.0,67.0,19.0,57.0,58.0,65.0,72.0,28.0,21.0,22.0,16.0,10.0,15.0,11.0,16.0
4602,0,71.0,64.0,61.0,67.0,68.0,75.0,77.0,72.0,66.0,72.0,75.0,77.0,77.0,70.0,73.0,75.0,80.0,66.0,61.0,66.0,65.0,30.0,70.0,64.0,72.0,65.0,21.0,22.0,25.0,16.0,8.0,6.0,16.0,10.0
14723,0,49.0,59.0,46.0,61.0,51.0,65.0,55.0,31.0,52.0,61.0,82.0,76.0,69.0,54.0,71.0,58.0,70.0,58.0,74.0,49.0,26.0,33.0,49.0,65.0,45.0,56.0,20.0,32.0,38.0,6.0,12.0,11.0,9.0,8.0
10463,1,58.0,58.0,39.0,64.0,63.0,69.0,58.0,51.0,63.0,65.0,67.0,67.0,76.0,59.0,74.0,61.0,77.0,75.0,47.0,60.0,64.0,63.0,53.0,62.0,58.0,68.0,43.0,68.0,64.0,15.0,14.0,11.0,15.0,8.0
15704,2,55.0,45.0,41.0,52.0,23.0,53.0,35.0,53.0,53.0,58.0,61.0,69.0,60.0,49.0,75.0,68.0,80.0,76.0,66.0,58.0,59.0,55.0,53.0,54.0,42.0,48.0,51.0,62.0,60.0,10.0,12.0,10.0,12.0,10.0
1728,2,37.0,38.0,77.0,67.0,24.0,42.0,28.0,29.0,64.0,53.0,64.0,70.0,42.0,72.0,59.0,65.0,64.0,77.0,83.0,42.0,73.0,73.0,55.0,36.0,37.0,77.0,75.0,76.0,74.0,14.0,7.0,14.0,15.0,16.0
9097,1,56.0,62.0,45.0,70.0,54.0,55.0,31.0,36.0,62.0,67.0,63.0,66.0,75.0,67.0,69.0,60.0,70.0,65.0,68.0,68.0,58.0,59.0,49.0,63.0,40.0,60.0,65.0,67.0,60.0,14.0,11.0,11.0,10.0,12.0
13662,1,45.0,48.0,55.0,68.0,33.0,60.0,37.0,32.0,62.0,65.0,63.0,65.0,61.0,60.0,57.0,50.0,63.0,68.0,55.0,41.0,57.0,67.0,50.0,51.0,42.0,58.0,65.0,66.0,64.0,13.0,13.0,9.0,14.0,9.0
18034,1,45.0,32.0,43.0,61.0,36.0,44.0,31.0,33.0,52.0,48.0,60.0,65.0,50.0,47.0,62.0,53.0,63.0,55.0,60.0,38.0,52.0,41.0,52.0,47.0,41.0,40.0,34.0,41.0,40.0,13.0,13.0,5.0,15.0,10.0
4946,2,39.0,20.0,73.0,58.0,30.0,28.0,27.0,29.0,52.0,43.0,63.0,59.0,46.0,55.0,47.0,37.0,75.0,64.0,82.0,22.0,70.0,69.0,27.0,30.0,35.0,63.0,69.0,72.0,69.0,11.0,11.0,5.0,9.0,14.0
311,2,52.0,32.0,80.0,76.0,35.0,62.0,22.0,49.0,69.0,66.0,64.0,66.0,65.0,76.0,61.0,54.0,78.0,62.0,75.0,47.0,86.0,84.0,41.0,56.0,51.0,75.0,80.0,84.0,83.0,13.0,11.0,9.0,11.0,7.0
2462,3,21.0,12.0,14.0,45.0,16.0,19.0,24.0,13.0,40.0,24.0,45.0,50.0,44.0,72.0,49.0,46.0,75.0,38.0,77.0,19.0,36.0,24.0,13.0,53.0,20.0,59.0,12.0,15.0,19.0,75.0,71.0,66.0,68.0,79.0
15273,1,59.0,55.0,44.0,63.0,44.0,56.0,64.0,57.0,60.0,59.0,66.0,60.0,77.0,57.0,78.0,60.0,53.0,71.0,59.0,61.0,60.0,53.0,54.0,55.0,46.0,64.0,51.0,58.0,54.0,14.0,14.0,11.0,8.0,6.0
10152,2,60.0,42.0,67.0,62.0,21.0,57.0,26.0,56.0,52.0,59.0,63.0,63.0,57.0,65.0,61.0,59.0,75.0,77.0,75.0,58.0,70.0,71.0,43.0,47.0,32.0,59.0,47.0,65.0,64.0,7.0,10.0,8.0,7.0,9.0
1674,2,38.0,32.0,79.0,63.0,36.0,52.0,56.0,50.0,62.0,60.0,48.0,52.0,60.0,68.0,58.0,70.0,88.0,54.0,77.0,56.0,74.0,76.0,42.0,50.0,52.0,72.0,75.0,77.0,75.0,3.0,5.0,3.0,3.0,5.0
13703,2,64.0,28.0,47.0,48.0,27.0,54.0,28.0,30.0,42.0,61.0,63.0,63.0,71.0,58.0,78.0,27.0,70.0,72.0,58.0,20.0,65.0,62.0,52.0,38.0,30.0,60.0,58.0,61.0,60.0,11.0,11.0,8.0,8.0,8.0
2280,2,61.0,31.0,73.0,60.0,58.0,52.0,58.0,48.0,54.0,55.0,65.0,69.0,68.0,62.0,68.0,68.0,77.0,69.0,79.0,56.0,91.0,73.0,58.0,48.0,58.0,66.0,74.0,74.0,73.0,9.0,11.0,15.0,8.0,15.0
12589,2,34.0,22.0,68.0,42.0,30.0,33.0,32.0,36.0,35.0,37.0,64.0,62.0,42.0,52.0,48.0,41.0,69.0,64.0,68.0,26.0,52.0,63.0,26.0,36.0,49.0,44.0,63.0,70.0,68.0,6.0,12.0,14.0,11.0,9.0
11878,2,63.0,46.0,52.0,60.0,34.0,62.0,60.0,39.0,56.0,61.0,74.0,75.0,70.0,57.0,75.0,39.0,79.0,65.0,63.0,42.0,49.0,57.0,53.0,53.0,51.0,54.0,64.0,64.0,62.0,14.0,12.0,15.0,10.0,16.0
8313,0,61.0,67.0,67.0,64.0,51.0,64.0,36.0,65.0,51.0,65.0,71.0,69.0,64.0,54.0,61.0,75.0,67.0,59.0,62.0,63.0,39.0,22.0,66.0,64.0,65.0,63.0,25.0,20.0,15.0,12.0,10.0,9.0,8.0,9.0
6988,2,76.0,42.0,60.0,70.0,52.0,70.0,79.0,75.0,72.0,74.0,75.0,75.0,69.0,61.0,62.0,67.0,71.0,72.0,65.0,69.0,68.0,63.0,50.0,61.0,69.0,55.0,63.0,63.0,63.0,9.0,12.0,14.0,14.0,12.0
1599,2,45.0,30.0,76.0,71.0,37.0,50.0,62.0,65.0,66.0,64.0,31.0,42.0,35.0,75.0,31.0,80.0,62.0,67.0,91.0,68.0,77.0,74.0,26.0,48.0,39.0,67.0,62.0,81.0,71.0,15.0,10.0,8.0,8.0,11.0
4728,1,67.0,71.0,57.0,64.0,57.0,77.0,64.0,59.0,59.0,72.0,88.0,85.0,89.0,63.0,80.0,65.0,90.0,68.0,58.0,63.0,64.0,33.0,61.0,56.0,45.0,63.0,32.0,37.0,31.0,12.0,9.0,9.0,14.0,10.0
6701,0,65.0,65.0,36.0,68.0,40.0,72.0,62.0,43.0,59.0,71.0,69.0,69.0,68.0,64.0,78.0,54.0,52.0,55.0,59.0,62.0,50.0,39.0,66.0,65.0,44.0,61.0,25.0,45.0,47.0,12.0,14.0,14.0,7.0,7.0
15235,1,55.0,57.0,32.0,61.0,47.0,62.0,52.0,65.0,52.0,58.0,78.0,68.0,68.0,45.0,62.0,57.0,74.0,59.0,44.0,45.0,43.0,23.0,58.0,47.0,58.0,42.0,32.0,28.0,24.0,13.0,10.0,12.0,6.0,14.0
2179,1,68.0,65.0,63.0,76.0,62.0,77.0,58.0,56.0,68.0,77.0,84.0,69.0,85.0,75.0,86.0,77.0,77.0,65.0,68.0,69.0,77.0,74.0,77.0,72.0,59.0,75.0,68.0,75.0,76.0,13.0,9.0,12.0,15.0,13.0
8890,0,61.0,66.0,55.0,63.0,42.0,69.0,39.0,33.0,43.0,64.0,76.0,80.0,74.0,58.0,78.0,55.0,74.0,79.0,63.0,58.0,40.0,17.0,62.0,63.0,55.0,52.0,51.0,12.0,18.0,10.0,13.0,12.0,12.0,5.0
9807,1,62.0,58.0,58.0,64.0,63.0,71.0,66.0,63.0,58.0,70.0,67.0,61.0,68.0,64.0,70.0,74.0,67.0,62.0,69.0,71.0,68.0,56.0,63.0,62.0,56.0,69.0,41.0,51.0,53.0,7.0,7.0,12.0,10.0,11.0
3355,2,73.0,42.0,66.0,70.0,28.0,74.0,77.0,73.0,68.0,68.0,62.0,72.0,68.0,68.0,71.0,81.0,63.0,72.0,69.0,69.0,70.0,65.0,66.0,65.0,66.0,68.0,74.0,75.0,74.0,13.0,12.0,12.0,14.0,9.0
2609,1,66.0,62.0,51.0,75.0,60.0,76.0,75.0,73.0,72.0,77.0,81.0,77.0,91.0,75.0,90.0,65.0,63.0,72.0,34.0,61.0,55.0,63.0,70.0,74.0,67.0,78.0,61.0,52.0,47.0,16.0,10.0,8.0,9.0,15.0
4491,1,74.0,56.0,44.0,71.0,45.0,68.0,65.0,60.0,68.0,70.0,82.0,82.0,69.0,63.0,76.0,57.0,51.0,72.0,58.0,56.0,49.0,43.0,65.0,71.0,54.0,58.0,55.0,32.0,21.0,6.0,7.0,14.0,10.0,9.0
4551,2,41.0,44.0,73.0,72.0,30.0,40.0,49.0,21.0,61.0,51.0,34.0,34.0,43.0,70.0,60.0,40.0,68.0,33.0,71.0,19.0,69.0,71.0,39.0,59.0,31.0,57.0,79.0,74.0,64.0,12.0,15.0,13.0,14.0,10.0
4649,0,58.0,73.0,55.0,70.0,64.0,75.0,65.0,49.0,55.0,70.0,64.0,71.0,47.0,67.0,48.0,75.0,39.0,69.0,85.0,62.0,45.0,20.0,73.0,69.0,61.0,75.0,25.0,23.0,20.0,8.0,16.0,11.0,13.0,6.0
12446,2,24.0,19.0,59.0,44.0,26.0,31.0,24.0,29.0,37.0,52.0,68.0,69.0,58.0,50.0,64.0,39.0,82.0,67.0,74.0,23.0,46.0,54.0,30.0,28.0,31.0,44.0,65.0,70.0,66.0,11.0,10.0,15.0,11.0,16.0
4620,2,62.0,49.0,25.0,67.0,58.0,66.0,62.0,42.0,62.0,65.0,69.0,84.0,72.0,74.0,61.0,52.0,58.0,92.0,69.0,45.0,77.0,72.0,60.0,65.0,35.0,67.0,72.0,70.0,68.0,9.0,15.0,11.0,13.0,16.0
132,1,71.0,64.0,74.0,84.0,73.0,80.0,72.0,67.0,83.0,79.0,52.0,59.0,44.0,83.0,50.0,83.0,67.0,84.0,85.0,75.0,80.0,86.0,69.0,73.0,64.0,84.0,83.0,84.0,75.0,7.0,15.0,12.0,14.0,9.0
6886,1,58.0,69.0,58.0,62.0,62.0,73.0,57.0,50.0,50.0,72.0,92.0,90.0,93.0,64.0,77.0,66.0,75.0,62.0,38.0,64.0,43.0,34.0,64.0,50.0,51.0,58.0,52.0,27.0,29.0,8.0,15.0,11.0,11.0,15.0
8193,0,59.0,61.0,49.0,62.0,56.0,70.0,65.0,49.0,57.0,64.0,87.0,90.0,77.0,65.0,76.0,63.0,70.0,62.0,56.0,58.0,48.0,28.0,61.0,55.0,57.0,66.0,26.0,22.0,29.0,14.0,12.0,13.0,7.0,11.0
13615,3,18.0,17.0,18.0,24.0,16.0,13.0,13.0,17.0,22.0,19.0,59.0,61.0,56.0,58.0,66.0,22.0,65.0,42.0,64.0,19.0,22.0,11.0,12.0,35.0,21.0,42.0,20.0,12.0,19.0,67.0,59.0,60.0,58.0,64.0
12329,0,52.0,62.0,58.0,58.0,53.0,59.0,58.0,61.0,49.0,58.0,79.0,84.0,73.0,55.0,70.0,65.0,80.0,76.0,69.0,55.0,45.0,30.0,58.0,57.0,65.0,56.0,30.0,23.0,24.0,10.0,8.0,16.0,10.0,9.0
14239,2,23.0,22.0,61.0,36.0,20.0,19.0,26.0,24.0,40.0,52.0,34.0,31.0,50.0,62.0,33.0,41.0,50.0,48.0,83.0,14.0,69.0,48.0,42.0,39.0,22.0,65.0,69.0,55.0,62.0,7.0,7.0,7.0,9.0,12.0
11501,1,59.0,50.0,44.0,63.0,40.0,65.0,48.0,61.0,62.0,63.0,83.0,78.0,84.0,56.0,82.0,63.0,73.0,73.0,60.0,61.0,58.0,48.0,58.0,64.0,51.0,64.0,50.0,52.0,45.0,16.0,10.0,13.0,13.0,7.0
8840,3,20.0,13.0,20.0,25.0,19.0,17.0,13.0,18.0,21.0,26.0,40.0,44.0,36.0,49.0,67.0,26.0,58.0,33.0,76.0,14.0,20.0,20.0,12.0,29.0,28.0,47.0,14.0,21.0,16.0,69.0,65.0,67.0,66.0,69.0
9347,1,61.0,57.0,47.0,65.0,56.0,58.0,53.0,59.0,62.0,70.0,72.0,71.0,54.0,48.0,62.0,69.0,61.0,77.0,47.0,61.0,56.0,43.0,71.0,72.0,54.0,64.0,54.0,43.0,26.0,12.0,14.0,7.0,13.0,10.0
11595,2,62.0,55.0,61.0,61.0,43.0,63.0,43.0,50.0,57.0,62.0,67.0,69.0,73.0,65.0,66.0,46.0,66.0,55.0,79.0,47.0,64.0,65.0,58.0,68.0,41.0,45.0,67.0,67.0,60.0,11.0,13.0,12.0,11.0,11.0
6470,2,64.0,65.0,44.0,67.0,37.0,72.0,50.0,57.0,56.0,74.0,77.0,71.0,77.0,70.0,86.0,69.0,54.0,71.0,64.0,65.0,76.0,67.0,67.0,64.0,53.0,68.0,65.0,70.0,71.0,13.0,15.0,13.0,12.0,14.0
15736,2,52.0,22.0,44.0,55.0,22.0,56.0,53.0,32.0,49.0,57.0,73.0,70.0,63.0,53.0,79.0,24.0,68.0,66.0,54.0,30.0,49.0,55.0,48.0,46.0,34.0,47.0,56.0,58.0,61.0,14.0,6.0,12.0,13.0,11.0
12242,3,11.0,9.0,13.0,26.0,14.0,20.0,18.0,8.0,19.0,17.0,41.0,42.0,37.0,53.0,53.0,24.0,53.0,40.0,50.0,12.0,21.0,23.0,11.0,34.0,22.0,27.0,30.0,13.0,10.0,65.0,59.0,63.0,65.0,63.0
10806,2,60.0,31.0,54.0,60.0,30.0,57.0,33.0,39.0,52.0,60.0,74.0,79.0,66.0,63.0,56.0,44.0,80.0,75.0,63.0,39.0,72.0,60.0,62.0,42.0,42.0,54.0,66.0,63.0,60.0,9.0,16.0,7.0,14.0,7.0
3319,0,63.0,70.0,64.0,70.0,64.0,78.0,67.0,71.0,63.0,74.0,86.0,85.0,87.0,70.0,84.0,67.0,54.0,74.0,53.0,62.0,32.0,28.0,73.0,65.0,66.0,66.0,30.0,22.0,23.0,15.0,14.0,12.0,9.0,10.0
16604,1,54.0,37.0,41.0,62.0,31.0,62.0,46.0,38.0,57.0,60.0,79.0,76.0,77.0,49.0,82.0,44.0,60.0,73.0,49.0,42.0,56.0,54.0,56.0,56.0,36.0,60.0,52.0,56.0,54.0,14.0,14.0,11.0,9.0,11.0
14785,1,45.0,28.0,47.0,61.0,29.0,57.0,32.0,33.0,58.0,59.0,53.0,54.0,53.0,57.0,78.0,48.0,42.0,58.0,68.0,32.0,54.0,59.0,39.0,58.0,37.0,45.0,57.0,59.0,57.0,13.0,7.0,13.0,6.0,12.0
16635,1,45.0,41.0,48.0,59.0,27.0,59.0,37.0,38.0,59.0,56.0,74.0,70.0,54.0,60.0,72.0,48.0,46.0,67.0,62.0,32.0,60.0,48.0,61.0,55.0,35.0,58.0,50.0,45.0,32.0,10.0,7.0,9.0,5.0,5.0
10361,1,42.0,59.0,51.0,68.0,59.0,66.0,49.0,56.0,66.0,68.0,73.0,72.0,76.0,61.0,76.0,62.0,63.0,69.0,69.0,59.0,60.0,55.0,58.0,65.0,44.0,51.0,53.0,59.0,54.0,6.0,11.0,6.0,14.0,14.0
7662,0,64.0,66.0,54.0,65.0,38.0,68.0,46.0,40.0,53.0,68.0,74.0,73.0,70.0,65.0,58.0,61.0,56.0,70.0,62.0,58.0,58.0,59.0,67.0,57.0,38.0,64.0,31.0,64.0,62.0,6.0,13.0,5.0,9.0,13.0
3998,1,54.0,58.0,63.0,74.0,58.0,76.0,79.0,75.0,70.0,75.0,66.0,67.0,67.0,68.0,69.0,67.0,63.0,65.0,62.0,69.0,54.0,62.0,68.0,70.0,70.0,65.0,51.0,60.0,50.0,14.0,10.0,15.0,13.0,6.0
3340,2,70.0,58.0,76.0,62.0,57.0,67.0,52.0,55.0,59.0,68.0,82.0,86.0,73.0,69.0,59.0,64.0,83.0,83.0,66.0,59.0,71.0,68.0,65.0,53.0,63.0,66.0,60.0,69.0,67.0,6.0,16.0,10.0,7.0,7.0
13906,0,57.0,62.0,59.0,51.0,46.0,58.0,42.0,46.0,38.0,63.0,71.0,70.0,60.0,60.0,63.0,57.0,69.0,57.0,84.0,56.0,33.0,21.0,60.0,49.0,61.0,63.0,16.0,35.0,27.0,14.0,9.0,9.0,10.0,11.0
17685,3,8.0,5.0,10.0,28.0,6.0,10.0,9.0,13.0,23.0,18.0,14.0,23.0,22.0,35.0,27.0,20.0,39.0,31.0,65.0,4.0,26.0,14.0,7.0,36.0,10.0,29.0,8.0,12.0,11.0,54.0,52.0,55.0,52.0,59.0
8343,2,63.0,38.0,70.0,60.0,33.0,58.0,58.0,35.0,58.0,60.0,55.0,39.0,63.0,65.0,50.0,75.0,59.0,68.0,79.0,66.0,66.0,63.0,48.0,38.0,44.0,65.0,62.0,68.0,65.0,14.0,14.0,12.0,14.0,7.0
2226,1,75.0,66.0,54.0,78.0,62.0,74.0,77.0,82.0,76.0,75.0,74.0,70.0,71.0,62.0,61.0,66.0,61.0,85.0,61.0,61.0,57.0,48.0,65.0,79.0,70.0,61.0,45.0,31.0,33.0,11.0,16.0,12.0,14.0,15.0
12617,1,53.0,57.0,42.0,62.0,45.0,68.0,57.0,34.0,53.0,65.0,76.0,72.0,73.0,62.0,64.0,66.0,46.0,74.0,71.0,52.0,52.0,41.0,58.0,59.0,46.0,45.0,56.0,44.0,40.0,14.0,15.0,10.0,15.0,7.0
792,2,54.0,50.0,83.0,76.0,48.0,65.0,43.0,35.0,67.0,70.0,74.0,79.0,63.0,73.0,62.0,63.0,64.0,70.0,79.0,55.0,74.0,79.0,52.0,71.0,39.0,69.0,78.0,79.0,76.0,7.0,15.0,10.0,15.0,13.0
9157,2,41.0,31.0,74.0,63.0,35.0,39.0,39.0,36.0,46.0,58.0,54.0,54.0,67.0,55.0,57.0,42.0,81.0,56.0,77.0,35.0,69.0,61.0,54.0,47.0,37.0,71.0,66.0,62.0,59.0,6.0,10.0,12.0,9.0,12.0
9871,2,54.0,51.0,54.0,64.0,53.0,59.0,54.0,60.0,61.0,61.0,90.0,92.0,73.0,63.0,65.0,65.0,71.0,79.0,73.0,53.0,67.0,66.0,57.0,54.0,46.0,60.0,64.0,66.0,65.0,8.0,12.0,16.0,10.0,6.0
844,0,67.0,76.0,75.0,75.0,79.0,76.0,68.0,80.0,53.0,77.0,65.0,65.0,64.0,78.0,60.0,84.0,70.0,64.0,82.0,80.0,75.0,34.0,79.0,65.0,81.0,78.0,55.0,30.0,26.0,12.0,13.0,14.0,6.0,11.0
10211,1,60.0,52.0,40.0,60.0,48.0,69.0,47.0,42.0,54.0,66.0,88.0,85.0,84.0,58.0,79.0,50.0,60.0,65.0,46.0,44.0,32.0,17.0,60.0,45.0,51.0,47.0,19.0,24.0,26.0,14.0,12.0,11.0,9.0,11.0
10401,2,66.0,50.0,52.0,64.0,61.0,66.0,71.0,64.0,61.0,68.0,79.0,75.0,82.0,68.0,79.0,62.0,78.0,70.0,56.0,65.0,52.0,57.0,55.0,66.0,46.0,72.0,57.0,59.0,59.0,9.0,13.0,7.0,9.0,11.0
13197,2,56.0,34.0,56.0,52.0,32.0,50.0,41.0,37.0,47.0,52.0,67.0,68.0,60.0,66.0,81.0,42.0,64.0,69.0,43.0,36.0,60.0,57.0,47.0,44.0,47.0,54.0,57.0,62.0,64.0,12.0,12.0,9.0,9.0,7.0
8598,2,60.0,41.0,54.0,62.0,40.0,49.0,38.0,40.0,51.0,63.0,67.0,68.0,67.0,67.0,72.0,42.0,62.0,68.0,55.0,38.0,65.0,65.0,50.0,48.0,39.0,49.0,66.0,68.0,71.0,13.0,15.0,11.0,8.0,9.0
8982,1,45.0,33.0,63.0,64.0,34.0,57.0,36.0,34.0,63.0,61.0,54.0,56.0,58.0,54.0,58.0,57.0,76.0,75.0,70.0,49.0,60.0,69.0,39.0,56.0,54.0,62.0,72.0,70.0,65.0,13.0,9.0,16.0,16.0,14.0
6422,2,43.0,19.0,72.0,47.0,48.0,30.0,43.0,49.0,26.0,48.0,34.0,62.0,46.0,63.0,45.0,55.0,77.0,61.0,77.0,35.0,80.0,69.0,24.0,40.0,54.0,69.0,68.0,68.0,68.0,10.0,13.0,12.0,14.0,11.0
11715,1,55.0,67.0,61.0,56.0,51.0,64.0,48.0,44.0,47.0,62.0,85.0,88.0,84.0,57.0,59.0,56.0,69.0,58.0,71.0,46.0,27.0,11.0,63.0,54.0,67.0,55.0,22.0,18.0,13.0,7.0,8.0,11.0,8.0,5.0
17539,3,22.0,21.0,48.0,36.0,20.0,38.0,21.0,27.0,30.0,29.0,71.0,73.0,62.0,48.0,48.0,31.0,71.0,58.0,76.0,22.0,44.0,48.0,26.0,32.0,38.0,41.0,56.0,49.0,53.0,12.0,9.0,6.0,14.0,8.0
15974,0,46.0,56.0,40.0,46.0,42.0,68.0,46.0,35.0,29.0,65.0,70.0,71.0,76.0,54.0,74.0,56.0,52.0,64.0,63.0,48.0,32.0,13.0,58.0,47.0,50.0,43.0,22.0,11.0,16.0,12.0,7.0,7.0,13.0,7.0
14013,2,46.0,20.0,60.0,61.0,28.0,47.0,44.0,41.0,55.0,59.0,53.0,56.0,63.0,59.0,62.0,32.0,71.0,92.0,70.0,27.0,44.0,61.0,40.0,50.0,50.0,52.0,65.0,59.0,55.0,7.0,14.0,8.0,15.0,14.0
13572,2,59.0,43.0,61.0,55.0,38.0,59.0,53.0,56.0,60.0,59.0,72.0,74.0,76.0,58.0,76.0,65.0,92.0,76.0,73.0,55.0,50.0,53.0,46.0,42.0,56.0,59.0,63.0,59.0,58.0,16.0,9.0,11.0,12.0,14.0
1986,1,78.0,72.0,56.0,70.0,52.0,78.0,65.0,57.0,66.0,77.0,80.0,84.0,72.0,72.0,57.0,78.0,61.0,75.0,69.0,66.0,58.0,48.0,70.0,66.0,64.0,65.0,51.0,55.0,56.0,12.0,6.0,14.0,7.0,12.0
8198,1,58.0,64.0,51.0,64.0,62.0,74.0,57.0,45.0,61.0,74.0,70.0,67.0,62.0,52.0,56.0,70.0,70.0,66.0,69.0,65.0,43.0,44.0,66.0,62.0,56.0,62.0,44.0,26.0,27.0,15.0,8.0,7.0,9.0,12.0
981,0,51.0,80.0,76.0,64.0,72.0,69.0,52.0,48.0,52.0,76.0,68.0,67.0,67.0,73.0,82.0,83.0,72.0,68.0,89.0,57.0,76.0,19.0,81.0,51.0,75.0,72.0,35.0,23.0,22.0,16.0,14.0,15.0,14.0,15.0
9740,2,67.0,34.0,70.0,62.0,33.0,62.0,54.0,40.0,62.0,61.0,62.0,69.0,48.0,63.0,45.0,53.0,61.0,80.0,83.0,40.0,74.0,64.0,52.0,51.0,42.0,59.0,62.0,66.0,61.0,7.0,9.0,15.0,11.0,8.0
2721,0,64.0,73.0,71.0,65.0,68.0,71.0,66.0,62.0,57.0,70.0,77.0,75.0,71.0,72.0,77.0,72.0,76.0,68.0,70.0,69.0,80.0,37.0,73.0,64.0,70.0,69.0,31.0,31.0,27.0,13.0,10.0,12.0,6.0,10.0
2260,2,46.0,51.0,75.0,69.0,37.0,58.0,49.0,68.0,63.0,60.0,65.0,59.0,60.0,71.0,43.0,73.0,77.0,66.0,84.0,63.0,76.0,73.0,61.0,50.0,51.0,60.0,73.0,73.0,69.0,9.0,8.0,14.0,12.0,11.0
